Rank,Year,Artist,Song1,Chart_Year
213,1963,The Surfaris,Surfer Joe,1989
214,1957,Jerry Lee Lewis,It'll Be Me,1989
215,1971,Chicago,Colour My World,1989
216,1964,Martha And The Vandellas,There He Is (At My Door),1989
217,1967,Frankie Valli,The Trouble With Me,1989
218,1961,Shep And The Limelites,This I Know,1989
219,1963,The Duprees,Love Eyes,1989
220,1960,The Demensions,Nursery Rhime Rock,1989
221,1957,Paul Anka,Don't Gamble With Love,1989
222,1970,Carpenters,I Kept On Loving You,1989
223,1962,Shelley Fabares,Where's It Gonna Get Me?,1989
224,1958,Jack Scott,Leroy,1989
225,1961,"The Chimes [60s, Brooklyn]",I'm In The Mood For Love,1989
226,1969,Elvis Presley,Charro,1989
227,1959,Frankie Avalon,I'm Broke,1989
228,1980,Bette Midler,Stay With Me,1989
229,1964,The 4 Seasons,Born To Wander,1989
230,1963,Roy Orbison,Shahdaroba,1989
231,1958,The Everly Brothers,Bird Dog,1989
232,1971,The Rolling Stones,Bitch,1989
233,1964,The Beatles,This Boy,1989
234,1958,Jerry Butler And The Impressions,Sweet Was The Wine,1989
235,1970,The 5th Dimension,Feelin' Alright?,1989
236,1963,Dion (Di Muci),You're Mine,1989
237,1959,Dion And The Belmonts,That's My Desire,1989
238,1957,Lee Andrews And The Hearts,The Girl Around The Corner,1989
239,1961,The Marvelettes,So Long Baby,1989
240,1959,Little Anthony And The Imperials,I'm Still In Love With You,1989
241,1962,Dickey Lee,More Or Less,1989
242,1972,The Moody Blues,Cities,1989
243,1960,Elvis Presley With The Jordanaires,A Mess Of Blues,1989
244,1958,Ricky Nelson,Don't Leave Me This Way,1989
245,1960,The Crests,Gee (But I'd Give The World),1989
246,1958,The Students,Every Day Of The Week,1989
247,1956,The Schoolboys [DooWop],Please Say You Want Me,1989
248,1961,The Regents [New York],I'm So Lonely,1989
249,1965,The Righteous Brothers,(I Love You) For Sentimental Reasons,1989
250,1963,Lesley Gore,"Run Bobby, Run",1989
251,1957,The Dubs,Don't Ask Me (To Be Lonely),1989
252,1957,The Silhouettes,Get A Job,1989
253,1957,The Everly Brothers,Wake Up Little Susie,1989
254,1967,The Monkees,Daydream Believer,1989
255,1964,Jay And The Americans,Come A Little Bit Closer,1989
256,1960,Ray Peterson,Tell Laura I Love Her,1989
257,1955,Moonglows,Most Of All,1989
258,1964,The Supremes,Where Did Our Love Go,1989
259,1957,The Everly Brothers,Bye Bye Love,1989
260,1971,Derek And The Dominos,Layla,1989
261,1963,The Rivieras [Indiana],California Sun,1989
262,1966,The Young Rascals,Good Lovin',1989
263,1955,The Nutmegs,Story Untold,1989
264,1966,The Troggs,Wild Thing,1989
265,1970,Freda Payne,Band Of Gold,1989
266,1959,Wilbert Harrison,Kansas City,1989
267,1961,Roy Orbison,Running Scared,1989
268,1977,Debby Boone,You Light Up My Life,1989
269,1963,The Beatles,Love Me Do,1989
270,1956,The Dells,Oh What A Nite,1989
271,1965,Bob Dylan,Like A Rolling Stone,1989
272,1961,Don And Juan,What's Your Name,1989
273,1962,Steve Lawrence,Go Away Little Girl,1989
274,1964,The Animals,The House Of The Rising Sun,1989
275,1971,Bread,If,1989
276,1956,The Teen Queens,Eddie My Love,1989
277,1957,The Tune Weavers,"Happy, Happy Birthday BabyPaul Gayten",1989
278,1965,Four Tops,I Can't Help Myself,1989
279,1966,The Cyrkle,Red Rubber Ball,1989
280,1969,The Brooklyn Bridge,Blessed Is The Rain,1989
281,1955,Chuck Berry And His Combo,Maybellene,1989
282,1957,Connie Francis,Who's Sorry Now,1989
283,1969,Neil Diamond,Sweet Caroline (Good Times Never Seemed So Good),1989
284,1977,Eagles,Hotel California,1989
285,1969,The Beatles,Something,1989
286,1971,Rod Stewart,Reason To Believe,1989
287,1959,The Everly Brothers,Let It Be Me,1989
288,1962,Paul And Paula,Hey Paula,1989
289,1965,The Beatles,Help!,1989
290,1968,Elvis Presley,If I Can Dream,1989
291,1957,Sam Cooke,You Send Me,1989
292,1959,Paul Anka,Put Your Head On My Shoulder,1989
293,1961,The Corsairs,Smoky Places,1989
294,1959,The Drifters,There Goes My Baby,1989
